FLL	6168	0.235084306096	32.1756850521	-66	518
FNT	326	-2.01226993865	46.304342741	-38	547
FSD	502	2.74302788845	53.5804998229	-43	837
FSM	204	3.04901960784	33.3209138459	-37	211
FWA	427	7.92974238876	91.1369486492	-44	1165
GCC	142	9.39436619718	54.0803129773	-38	368
GCK	59	-6.49152542373	41.6783135875	-34	163
GEG	719	3.78998609179	34.4175832803	-37	423
GFK	221	-2.98642533937	28.5517838382	-32	199
GGG	60	32.4833333333	183.009723893	-21	1113
GJT	385	9.98961038961	37.6465178794	-30	329
GNV	268	0.888059701493	36.9183044737	-28	240
GPT	367	4.72207084469	41.7495018532	-32	275
GRB	434	2.68894009217	46.7598900115	-52	467
GRI	56	13.1785714286	67.1405871404	-31	404
GRK	416	0.0721153846154	30.8703404479	-35	356
GRR	862	8.67285382831	55.0795828497	-40	939
GSO	775	5.91225806452	44.9028240675	-37	292
GSP	799	2.18648310388	32.9899584862	-51	363
GTF	139	1.42446043165	33.2458951192	-33	158
GTR	83	-3.15662650602	41.2013147812	-31	305
GUC	37	11.5405405405	41.1066327404	-29	145
GUM	31	-3.74193548387	19.4284460554	-40	51
HDN	191	1.97382198953	36.6629649008	-41	211
HIB	51	-1.72549019608	21.8339904107	-37	66
HLN	135	-6.02962962963	27.8982535003	-45	122
HNL	4336	5.02444649446	34.621330734	-45	551
HOB	47	15.4255319149	70.2581403858	-24	398
HOU	4713	3.29768724804	29.1215230325	-39	1062
HPN	657	6.45509893455	35.3726013023	-38	298
HRL	344	1.1773255814	39.2853129159	-28	387
HSV	602	2.85714285714	42.3351597087	-54	408
IAD	5883	8.57164711882	40.3566608285	-56	483
IAH	14712	5.9573817292	38.7705859619	-58	750
ICT	827	1.4038694075	33.9018864178	-47	492
IDA	203	10.7881773399	34.752583181	-25	222
ILM	266	1.47744360902	30.1951117287	-31	251
IMT	52	2.36538461538	33.2017179134	-35	137
IND	2447	2.02451982019	36.5917932482	-40	439
INL	49	-2.10204081633	21.0240387196	-26	82
IPL	61	-8.44262295082	29.9908455978	-29	205
ISN	146	19.0684931507	50.8323352879	-31	390
ISP	405	-3.54814814815	21.4948941158	-45	170
ITH	54	-7.05555555556	44.0121838477	-47	249
ITO	594	2.49494949495	30.2705196344	-51	498
IYK	58	-1.20689655172	34.933901807	-25	251
JAC	267	14.3820224719	62.5414459183	-41	460
JAN	798	4.36215538847	43.4775405625	-36	492
JAX	1901	1.37611783272	37.9342927466	-56	793
JFK	9031	1.36839774111	39.8153063562	-70	1272
JLN	60	18.9	67.7049180799	-25	419
JNU	291	2.82474226804	38.9435516266	-49	267
KOA	1094	3.92504570384	33.5258616259	-64	339
KTN	180	-5.08888888889	22.1110172212	-45	125
LAN	287	2.75958188153	50.677383928	-38	530
LAR	59	-9.08474576271	25.635568055	-36	104
LAS	10916	-0.301026016856	29.4307682049	-51	1360
LAW	150	-3.03333333333	35.8925347282	-33	260
LAX	17385	0.56922634455	26.9680860545	-58	521
LBB	575	3.47304347826	35.4651355563	-27	386
LCH	172	0.511627906977	54.496900322	-35	376
LEX	581	1.21514629948	34.3563502817	-45	232
LFT	447	10.2058165548	43.9353649007	-34	350
LGA	7751	3.38240227067	33.1308345993	-54	486
