Player,Team,Salary
Patrick Mills,Portland Trail Blazers,458
Quincy Douby,Toronto Raptors,106
Rafer Alston,New Jersey Nets,4300
Raja Bell,Golden State Warriors,5250
Rajon Rondo,Boston Celtics,2095
Ramon Sessions,Minnesota Timberwolves,3671
Randy Foye,Washington Wizards,3576
Rashad McCants,Minnesota Timberwolves,2620
Ray Allen,Boston Celtics,18777
Raymond Felton,Charlotte Bobcats,5501
Reggie Williams,Golden State Warriors,121
Richard Hamilton,Detroit Pistons,11625
Roddy Beaubois,Dallas Mavericks,1075
Rodney Stuckey,Detroit Pistons,1805
Roger Mason,San Antonio Spurs,3780
Roko Ukic,Milwaukee Bucks,572
Ronald Murray,Atlanta Hawks,1500
Ronnie Brewer,Memphis Grizzlies,2717
Ronnie Price,Utah Jazz,1250
Royal Ivey,Milwaukee Bucks,1050
Rudy Fernandez,Portland Trail Blazers,1165
Russell Westbrook,Oklahoma City Thunder,3756
Sam Cassell,Sacramento Kings,1262
Sasha Pavlovic,Minnesota Timberwolves,1500
Sasha Vujacic,Los Angeles Lakers,4525
Sean Singletary,Charlotte Bobcats,442
Sebastian Telfair,Cleveland Cavaliers,2500
Sergio Rodriguez,New York Knicks,1892
Shannon Brown,Los Angeles Lakers,798
Shaun Livingston,Oklahoma City Thunder,322
Shaun Livingston,Washington Wizards,245
Smush Parker,Miami Heat,2430
Sonny Weems,Toronto Raptors,736
Speedy Claxton,Golden State Warriors,5209
Stephen Curry,Golden State Warriors,2711
Stephen Graham,Charlotte Bobcats,825
Stephon Marbury,New York Knicks,20841
Steve Blake,Portland Trail Blazers,4590
Steve Francis,Memphis Grizzlies,18364
Steve Nash,Phoenix Suns,13125
Sundiata Gaines,Utah Jazz,272
T.J. Ford,Indiana Pacers,8500
Tarence Kinsey,Cleveland Cavaliers,798
Thomas Gardner,Atlanta Hawks,712
Toney Douglas,New York Knicks,996
Tony Allen,Boston Celtics,2500
Tony Parker,San Antonio Spurs,12600
Tracy McGrady,New York Knicks,22483
Travis Deiner,Portland Trail Blazers,229
Travis Diener,Indiana Pacers,1740
Troy Hudson,Minnesota Timberwolves,5041
Ty Lawson,Denver Nuggets,1439
Tyreke Evans,Sacramento Kings,3610
Tyronn Lue,Milwaukee Bucks,2500
Vince Carter,Orlando Magic,16123
Wayne Ellington,Minnesota Timberwolves,1004
Wesley Matthews,Utah Jazz,458
Will Bynum,Detroit Pistons,825
Willie Green,Philadelphia 76ers,3682
Willie Solomon,Toronto Raptors,712
